KOI,logAiso,E_logAiso,e_logAiso
K02333,9.86,0.06,0.07
K02339,9.11,0.49,0.53
K02342,10.1,0.03,0.04
K02352,9.6,0.08,0.06
K02357,10.05,0.05,0.07
K02358,9.38,0.04,0.05
K02365,9.67,0.08,0.08
K02366,9.58,0.09,0.11
K02367,9.59,0.06,0.06
K02369,9.74,0.14,0.27
K02370,9.44,0.08,0.08
K02372,9.9,0.04,0.05
K02374,9.85,0.1,0.12
K02389,9.97,0.04,0.05
K02390,9.45,0.02,0.04
K02393,9.8,0.24,0.48
K02396,9.22,0.41,0.52
K02398,9.83,0.03,0.04
K02399,9.5,0.39,0.45
K02403,9.16,0.24,0.48
K02407,9.61,0.06,0.06
K02408,9.98,0.1,0.14
K02409,10.09,0.03,0.04
K02410,9.88,0.13,0.19
K02414,10.11,0.02,0.02
K02422,9.42,0.33,0.59
K02426,10.03,0.07,0.11
K02433,9.78,0.11,0.16
K02440,9.85,0.08,0.09
K02442,9.87,0.19,0.38
K02443,10.1,0.03,0.05
K02462,9.65,0.12,0.06
K02469,9.78,0.25,0.48
K02470,9.58,0.12,0.15
K02473,9.27,0.46,0.54
K02479,9.79,0.03,0.03
K02481,8.95,0.13,0.16
K02484,10.1,0.02,0.03
K02488,9.81,0.06,0.08
K02492,10.13,0.01,0.02
K02498,10.04,0.07,0.14
K02503,9.66,0.27,0.51
K02516,9.85,0.02,0.02
K02517,9.96,0.11,0.16
K02521,9.86,0.21,0.45
K02522,9.26,0.4,0.64
K02529,9.57,0.38,0.58
K02530,9.63,0.13,0.05
K02533,9.64,0.11,0.08
K02534,9.43,0.16,0.25
K02538,10.11,0.02,0.05
K02541,9.6,0.05,0.03
K02545,9.37,0.07,0.05
K02547,9.9,0.07,0.08
K02555,9.41,0.17,0.26
K02556,9.9,0.14,0.22
K02559,9.64,0.13,0.17
K02561,9.75,0.07,0.08
K02563,9.46,0.08,0.04
K02564,9.67,0.03,0.03
K02571,10.13,0.01,0.02
K02581,9.19,0.28,0.61
K02582,9.66,0.09,0.09
K02583,9.63,0.19,0.27
K02585,10.03,0.05,0.06
K02590,9.47,0.09,0.07
K02593,9.47,0.05,0.07
K02595,9.45,0.05,0.05
K02597,9.95,0.09,0.11
K02603,9.53,0.11,0.05
K02607,8.87,0.37,0.41
K02608,8.99,0.26,0.42
K02612,9.7,0.15,0.2
K02623,9.47,0.04,0.04
K02631,10.08,0.03,0.03
K02632,9.43,0.11,0.06
K02635,9.78,0.03,0.03
K02636,9.21,0.24,0.48
K02639,9.97,0.05,0.06
K02640,9.34,0.16,0.13
K02641,9.94,0.04,0.04
K02659,9.35,0.05,0.04
K02668,9.73,0.19,0.32
K02672,8.79,0.52,0.39
K02674,9.88,0.03,0.03
K02675,8.95,0.22,0.32
K02676,9.39,0.09,0.08
K02677,9.59,0.11,0.05
K02678,8.93,0.25,0.53
K02686,9.64,0.34,0.56
K02687,9.11,0.41,0.14
K02690,8.9,0.4,0.43
K02694,9.21,0.43,0.71
K02698,9.6,0.13,0.16
K02706,9.37,0.03,0.04
K02712,9.3,0.05,0.05
K02714,9.7,0.07,0.11
K02717,9.67,0.09,0.1
K02720,9.91,0.04,0.04
K02722,9.4,0.17,0.3
K02729,10.12,0.02,0.04
K02730,10.11,0.03,0.04
K02732,9.55,0.13,0.05
K02737,9.79,0.11,0.09
K02740,9.77,0.03,0.03
K02741,9.42,0.18,0.51
K02743,9.72,0.17,0.31
K02748,10.01,0.03,0.03
K02749,9.35,0.13,0.03
K02753,9.75,0.08,0.09
K02754,9.95,0.06,0.06
K02755,9.91,0.1,0.13
K02756,8.99,0.35,0.45
K02758,9.27,0.02,0.02
K02762,9.38,0.41,0.49
K02763,9.77,0.26,0.48
K02765,9.45,0.05,0.04
K02768,9.13,0.43,0.53
K02769,9.81,0.03,0.03
K02771,9.26,0.25,0.35
K02781,10.09,0.03,0.03
K02785,9.89,0.08,0.09
K02786,9.55,0.11,0.06
K02792,9.63,0.07,0.07
